timestamp,ref_q_1,cmd_tau_1,state_q_1,state_tau_est_1,ref_q_2,cmd_tau_2,state_q_2,state_tau_est_2
0.2325,1.4719,,,,-2.6318,,,
0.2345,1.4719,,,,-2.6318,,,
0.2368,1.4719,,,,-2.6318,,,
0.2368,1.4719,,,,-2.6318,,,
0.2382,1.4719,,,,-2.6318,,,
0.2392,1.4719,,,,-2.6318,,,
0.2398,1.4719,,,,-2.6318,,,
0.2406,1.4719,,,,-2.6318,,,
0.2419,1.4719,,,,-2.6318,,,
0.2426,1.4719,,,,-2.6318,,,
0.2435,1.4719,,,,-2.6318,,,
0.2495,1.4719,,,,-2.6318,,,
0.2496,1.4719,,,,-2.6318,,,
0.2521,1.4719,,,,-2.6318,,,
0.2537,1.4719,,,,-2.6319,,,
0.2543,1.4719,,,,-2.6319,,,
0.2545,1.4719,,,,-2.6319,,,
0.2567,1.4719,,,,-2.6319,,,
0.2567,1.4719,,,,-2.6319,,,
0.2594,1.4719,,,,-2.6319,,,
0.2619,1.4719,,,,-2.6319,,,
0.2626,1.4719,,,,-2.6319,,,
0.2654,1.472,,,,-2.6319,,,
0.2674,1.472,,,,-2.6319,,,
0.2678,1.472,,,,-2.6319,,,
0.2688,1.472,,,,-2.6319,,,
0.2694,1.472,,,,-2.6319,,,
0.272,1.472,,,,-2.6319,,,
0.272,1.472,,,,-2.6319,,,
0.2731,1.472,,,,-2.6319,,,
0.274,1.472,,,,-2.6319,,,
0.2758,1.472,,,,-2.6319,,,
0.2758,1.472,,,,-2.6319,,,
0.2789,1.472,,,,-2.6319,,,
0.2789,1.472,,,,-2.6319,,,
0.2803,1.472,,,,-2.6319,,,
0.2811,1.472,,,,-2.6319,,,
0.2841,1.472,,,,-2.6319,,,
0.2846,1.472,,,,-2.6319,,,
0.2873,1.472,,,,-2.6319,,,
0.2874,1.472,,,,-2.6319,,,
0.2884,1.472,,,,-2.6319,,,
0.2895,1.472,,,,-2.6319,,,
0.2905,1.472,,,,-2.6319,,,
0.2932,1.472,,,,-2.6319,,,
0.2936,1.472,,,,-2.6319,,,
0.2948,1.472,,,,-2.6319,,,
0.296,1.472,,,,-2.6319,,,
0.2966,1.4721,,,,-2.6319,,,
0.2977,1.4721,,,,-2.6319,,,
0.2992,1.4721,,,,-2.6319,,,
0.3019,1.4721,,,,-2.6319,,,
0.3025,1.4721,,,,-2.6319,,,
0.3035,1.4721,,,,-2.6319,,,
0.3047,1.4721,,,,-2.6319,,,
0.3058,1.4721,,,,-2.632,,,
0.307,1.4721,,,,-2.632,,,
0.3077,1.4721,,,,-2.632,,,
0.3102,1.4721,,,,-2.632,,,
0.3103,1.4721,,,,-2.632,,,
0.3119,1.4721,,,,-2.632,,,
0.312,1.4721,,,,-2.632,,,
0.3125,1.4721,,,,-2.632,,,
0.3139,1.4721,,,,-2.632,,,
0.3147,1.4721,,,,-2.632,,,
0.316,1.4721,,,,-2.632,,,
0.3166,1.4721,,,,-2.632,,,
0.3182,1.4721,,,,-2.632,,,
0.3185,1.4721,,,,-2.632,,,
0.3198,1.4721,,,,-2.632,,,
0.3205,1.4721,,,,-2.632,,,
0.3218,1.4721,,,,-2.632,,,
0.3224,1.4721,,,,-2.632,,,
0.3258,1.4721,,,,-2.632,,,
0.3259,1.4721,,,,-2.632,,,
0.3262,1.4722,,,,-2.632,,,
0.3266,1.4722,,,,-2.632,,,
0.3282,1.4722,,,,-2.632,,,
